Model,Knox Manage,Knox Vault,Knox Configure,Knox E-FOTA,Samsung DeX,IT Admin Portal,Source URL,Fetched At
Galaxy S25,✓,✓,✓,✓,✓,✓,https://www.samsungknox.com/en/knox-platform/knox-certifications,2026-05-29
Galaxy S25+,✓,✓,✓,✓,✓,✓,https://www.samsungknox.com/en/knox-platform/knox-certifications,2026-05-29
Galaxy S25 Ultra,✓,✓,✓,✓,✓,✓,https://www.samsungknox.com/en/knox-platform/knox-certifications,2026-05-29
Galaxy Z Fold6,✓,✓,✓,✓,✓,✓,https://www.samsungknox.com/en/knox-platform/knox-certifications,2026-05-29
Galaxy Tab S10 Ultra,✓,N/A,✓,✓,✓,✓,https://www.samsung.com/ae/support/mobile-devices/knox-security-solutions-in-the-galaxy-tab-s10-series/,2026-05-29
Galaxy Tab S10+,✓,N/A,✓,✓,✓,✓,https://www.samsung.com/ae/support/mobile-devices/knox-security-solutions-in-the-galaxy-tab-s10-series/,2026-05-29
Galaxy Tab S9 FE,✓,N/A,✓,✓,✓,✓,https://docs.samsungknox.com/admin/fundamentals/whitepaper/samsung-knox-mobile-security/system-security/knox-vault/,2026-05-29
Galaxy A55,✓,✓,✓,✓,✗,✓,https://news.samsung.com/in/samsung-launches-galaxy-a55-5g-and-galaxy-a35-5g-with-flagship-like-camera-innovations-and-samsung-knox-vault-protection,2026-05-29
Galaxy A35,✓,✓,✓,✓,✗,✓,https://news.samsung.com/in/samsung-launches-galaxy-a55-5g-and-galaxy-a35-5g-with-flagship-like-camera-innovations-and-samsung-knox-vault-protection,2026-05-29
