Series,Model,Release Date,Driver,ANC,Bluetooth,Codec,Battery Buds,Battery Case,Wireless Charging,Water Resistance,Weight per Bud,Colors,Compatible OS,Starting Price USD,Source URL
Buds3,Galaxy Buds3 Pro,2024-07-24,2-way (10.5mm dynamic + 6.1mm planar tweeter),Yes (Adaptive ANC),5.4,"SBC, AAC, Samsung Seamless Codec (SSC) Hi-Fi",53 mAh,515 mAh,Yes (Qi),IP57,5.4 g,"Silver, White","Android 11+, One UI 5.0+, iOS (limited features)",249.99,https://www.gsmarena.com/samsung_galaxy_buds3_and_buds3_pro_launch_with_blades_improved_audio_and_battery_life-news-63657.php
Buds3,Galaxy Buds3,2024-07-24,11mm dynamic,Yes (Adaptive ANC),5.4,"SBC, AAC, Samsung Seamless Codec (SSC)",48 mAh,515 mAh,Yes (Qi),IP57,4.7 g,"Silver, White","Android 11+, One UI 5.0+, iOS (limited features)",179.99,https://www.gsmarena.com/samsung_galaxy_buds3_and_buds3_pro_launch_with_blades_improved_audio_and_battery_life-news-63657.php
Buds FE,Galaxy Buds FE,2023-10-05,12mm AKG-tuned dynamic,Yes,5.2,"SBC, AAC",N/A,479 mAh,No,IPX2,4.1 g,"Graphite, White","Android 8.0+, One UI 4.0+",99.99,https://www.gsmarena.com/samsung_galaxy_tab_s9_fe_and_buds_fe_announced-news-60099.php
