Series,Model,Release Date,Case Size,Display Size,Display Type,Resolution,Chipset,RAM,Storage,Battery,Charging,Connectivity,Sensors,Water Resistance,Build,Colors,Compatible OS,Starting Price USD,Source URL
Watch7,Galaxy Watch7,2024-07-24,"40mm, 44mm","1.3 in (40mm), 1.5 in (44mm)",Super AMOLED (Sapphire Crystal),"432x432 (40mm), 480x480 (44mm)",Exynos W1000 (3nm),2 GB,32 GB,"300 mAh (40mm), 425 mAh (44mm)",WPC wireless (EP-OL300 charger),"Bluetooth 5.3, Wi-Fi a/b/g/n/ac dual-band, NFC, Dual-band GPS (L1+L5), optional LTE","BioActive (PPG+ECG+BIA), accelerometer, barometer, gyroscope, geomagnetic, ambient light, temperature","5ATM + IP68","Aluminum case, sapphire glass, MIL-STD-810H","Green, Cream, Silver (40mm); Green, Silver (44mm)",Wear OS 5 with One UI 6 Watch,299.99,https://www.gsmarena.com/samsung_galaxy_watch7-13128.php
Watch Ultra,Galaxy Watch Ultra,2024-07-24,47mm,1.5 in,Super AMOLED (Sapphire Crystal),480x480,Exynos W1000 (3nm),2 GB,32 GB,590 mAh,10W WPC wireless (EP-OL300 charger),"Bluetooth 5.3, Wi-Fi a/b/g/n/ac dual-band, NFC, Dual-band GPS (L1+L5), LTE","BioActive (PPG+ECG+BIA), accelerometer, barometer, gyroscope, geomagnetic, ambient light, temperature, depth (for diving)","10ATM + IP68","Titanium Grade 4 case, sapphire glass, MIL-STD-810H, withstands -20C to 55C and 9000m altitude","Titanium Gray, Titanium Silver, Titanium White",Wear OS 5 with One UI 6 Watch,649.99,https://www.gsmarena.com/samsung_galaxy_watch_ultra-13127.php
Watch FE,Galaxy Watch FE,2024-06-24,40mm,1.2 in,Super AMOLED (Sapphire Glass),396x396,Exynos W920 (5nm),1.5 GB,16 GB,247 mAh,WPC wireless,"Bluetooth 5.3, Wi-Fi (2.4 GHz), NFC, GPS/GLONASS/Beidou/Galileo, optional LTE","BioActive (PPG+ECG+BIA), accelerometer, barometer, gyroscope, geomagnetic, ambient light","5ATM + IP68","Aluminum case, sapphire glass, MIL-STD-810H","Black, Pink Gold, Silver",Wear OS with One UI 5 Watch,199.99,https://www.gsmarena.com/samsung_galaxy_watch_fe-13112.php
