Series,Model,Release Date,Display Size,Display Type,Refresh Rate,Resolution,Chipset,CPU,GPU,RAM,Storage Options,Main Camera,Ultrawide,Telephoto,Periscope,Front Camera,Battery,Wired Charging,Wireless Charging,Dimensions,Weight,Build,IP Rating,Colors,Bluetooth,WiFi,USB,OS at Launch,Update Policy,Starting Price USD,Source URL
Galaxy Z Fold,Galaxy Z Fold6,2024-07-24,7.6 inch / Cover 6.3 inch,Foldable Dynamic LTPO AMOLED 2X,120Hz,1856 x 2160 (main) / 968 x 2376 (cover),Qualcomm SM8650-AC Snapdragon 8 Gen 3 for Galaxy (4nm),Octa-core 1x3.39GHz Cortex-X4 + 3x3.1GHz Cortex-A720 + 2x2.9GHz Cortex-A720 + 2x2.2GHz Cortex-A520,Adreno 750 (1GHz),12GB,256GB/512GB/1TB,50MP f/1.8 OIS,12MP f/2.2 123deg,10MP f/2.4 3x OIS,N/A,10MP f/2.2 cover + 4MP f/1.8 under-display,4400mAh,25W Super Fast Charging 2.0,15W + 4.5W reverse,Unfolded 153.5 x 132.6 x 5.6 mm / Folded 153.5 x 68.1 x 12.1 mm,239g,Gorilla Glass Victus 2 + aluminum frame,IP48,Navy/Silver Shadow/Pink/Black/White,5.3 LE aptX HD,Wi-Fi 6E tri-band,USB-C 3.2 OTG,Android 14 + One UI 6.1.1,7 years OS + security,599.95,https://www.gsmarena.com/samsung_galaxy_z_fold6-13147.php
Galaxy Z Flip,Galaxy Z Flip6,2024-07-24,6.7 inch / Cover 3.4 inch,Foldable Dynamic LTPO AMOLED 2X (main) / Super AMOLED (cover),120Hz,1080 x 2640 (main) / 720 x 748 (cover),Qualcomm Snapdragon 8 Gen 3 for Galaxy (4nm),Octa-core 1x3.3GHz Cortex-X4 + 3x3.2GHz Cortex-A720 + 2x3.0GHz Cortex-A720 + 2x2.3GHz Cortex-A520,Adreno 750,12GB LPDDR5X,256GB/512GB,50MP f/1.8 OIS,12MP f/2.2 123deg,N/A,N/A,10MP f/2.2,4000mAh,25W,15W + 4.5W reverse,N/A,N/A,Matte aluminum frame,IP48,Yellow/Silver Shadow/Mint/Blue/Black/White/Peach,5.3,Wi-Fi 6E,USB-C 3.2,Android 14 + One UI 6.1.1,7 years OS + security,N/A,https://en.wikipedia.org/wiki/Samsung_Galaxy_Z_Flip_6
Galaxy Z Fold,Galaxy Z Fold5,2023-08-11,7.6 inch / Cover 6.2 inch,Dynamic AMOLED 2X,120Hz,2176 x 1812 (main) / 2316 x 904 (cover),Qualcomm Snapdragon 8 Gen 2 for Galaxy (4nm),Octa-core 1x3.36GHz Cortex-X3 + 2x2.8GHz Cortex-A715 + 2x2.8GHz Cortex-A710 + 3x2.0GHz Cortex-A510,Adreno 740,12GB LPDDR5,256GB/512GB/1TB,50MP f/1.8 OIS,12MP f/2.2 123deg,10MP f/2.4 3x OIS,N/A,10MP f/2.2 cover + 4MP f/1.8 under-display,4400mAh dual-cell,25W,15W + 4.5W reverse,Unfolded 154.9 x 130.1 x 6.1 mm / Folded 154.9 x 67.1 x 13.4 mm,253g,Armor Aluminum + Gorilla Glass Victus 2,IPX8 (1.5m 30min),Phantom Black/Icy Blue/Cream + Gray/Blue online,5.3,Wi-Fi 6E,USB-C 3.2,Android 13 + One UI 5.1.1,4 years OS + 5 years security,N/A,https://en.wikipedia.org/wiki/Samsung_Galaxy_Z_Fold_5
