Series,Model,Release Date,Display Size,Display Type,Refresh Rate,Resolution,Chipset,CPU,GPU,RAM,Storage Options,Main Camera,Ultrawide,Telephoto,Periscope,Front Camera,Battery,Wired Charging,Wireless Charging,Dimensions,Weight,Build,IP Rating,Colors,Bluetooth,WiFi,USB,OS at Launch,Update Policy,Starting Price USD,Source URL
Galaxy S25,Galaxy S25,2025-02-07,6.2 inch,Dynamic LTPO AMOLED 2X,120Hz,1080 x 2340,Snapdragon 8 Elite for Galaxy (3nm),Octa-core 2x4.47GHz Oryon V2 + 6x3.53GHz,Adreno 830,12GB,128GB/256GB/512GB,50MP f/1.8 OIS,12MP f/2.2 120deg,10MP f/2.4 3x OIS,N/A,12MP f/2.2,4000mAh,25W PD3.0,15W Qi2 + 4.5W reverse,146.9 x 70.5 x 7.2 mm,162g,Gorilla Glass Victus 2 + aluminum,IP68 1.5m 30min,Icy Blue/Mint/Navy/Silver Shadow/Pink Gold/Coral Red/Blue Black,5.4 LE,Wi-Fi 7 tri-band,USB-C 3.2 DP1.2,Android 15 + One UI 7,7 years OS + security,434.95,https://www.gsmarena.com/samsung_galaxy_s25-13610.php
Galaxy S25,Galaxy S25 Plus,2025-02-07,6.7 inch,Dynamic LTPO AMOLED 2X,120Hz,1440 x 3120,Snapdragon 8 Elite for Galaxy (3nm),Octa-core 2x4.47GHz Oryon V2 + 6x3.53GHz,Adreno 830,12GB,256GB/512GB,50MP f/1.8 OIS,12MP f/2.2 120deg,10MP f/2.4 3x OIS,N/A,12MP f/2.2,4900mAh,45W PD3.0,15W Qi2 + 4.5W reverse,158.4 x 75.8 x 7.3 mm,190g,Gorilla Glass Victus 2 + aluminum,IP68 1.5m 30min,Icy Blue/Mint/Navy/Silver Shadow/Pink Gold/Coral Red/Blue Black,5.4 LE,Wi-Fi 7 tri-band,USB-C 3.2 DP1.2,Android 15 + One UI 7,7 years OS + security,579.95,https://www.gsmarena.com/samsung_galaxy_s25_plus-13609.php
Galaxy S25,Galaxy S25 Ultra,2025-02-07,6.9 inch,Dynamic LTPO AMOLED 2X,120Hz,1440 x 3120,Snapdragon 8 Elite for Galaxy (3nm),Octa-core 2x4.47GHz Oryon V2 + 6x3.53GHz,Adreno 830 (1200MHz),12GB (16GB on 1TB Asia),256GB/512GB/1TB,200MP f/1.7 OIS,50MP f/1.9 120deg,10MP f/2.4 3x + 50MP f/3.4 5x periscope,Yes,12MP f/2.2,5000mAh,45W PD3.0,15W Qi2 + 4.5W reverse,162.8 x 77.6 x 8.2 mm,218g,Gorilla Armor 2 + titanium grade 5,IP68 1.5m 30min,Titanium Silver Blue/Black/White Silver/Gray/Jade Green/Jet Black/Pink Gold,5.4 LE,Wi-Fi 7 tri-band,USB-C 3.2 DP1.2,Android 15 + One UI 7,7 years OS + security,737.93,https://www.gsmarena.com/samsung_galaxy_s25_ultra-13322.php
