Series,Model,Release Date,Display Size,Display Type,Refresh Rate,Resolution,Chipset,CPU,GPU,RAM,Storage Options,Main Camera,Ultrawide,Telephoto,Periscope,Front Camera,Battery,Wired Charging,Wireless Charging,Dimensions,Weight,Build,IP Rating,Colors,Bluetooth,WiFi,USB,OS at Launch,Update Policy,Starting Price USD,Source URL
Galaxy Tab S10,Galaxy Tab S10 Ultra,2024-10-03,14.6 inch,Dynamic AMOLED 2X,120Hz,1848 x 2960,MediaTek Dimensity 9300+ (4nm),Octa-core 1x3.4GHz Cortex-X4 + 3x2.8GHz Cortex-X4 + 4x2.0GHz Cortex-A720,Immortalis-G720 MC12,12GB/16GB,256GB/512GB/1TB + microSDXC,13MP f/2.0 26mm AF,8MP f/2.2,N/A,N/A,12MP f/2.2 + 12MP f/2.4 120deg ultrawide,11200mAh,45W PD,N/A,326.4 x 208.6 x 5.4 mm,718g (Wi-Fi) / 723g (5G),Aluminum Armor frame + glass front,IP68 1.5m 30min,Moonstone Gray/Platinum Silver,5.3,Wi-Fi 7 (a/b/g/n/ac/6e/7),USB-C 3.2,Android 14 + One UI 6.1,7 years OS + security,N/A,https://www.gsmarena.com/samsung_galaxy_tab_s10_ultra-13362.php
Galaxy Tab S10,Galaxy Tab S10 Plus,2024-10-03,12.4 inch,Dynamic AMOLED 2X,120Hz,1752 x 2800,MediaTek Dimensity 9300+ (4nm),Octa-core 1x3.4GHz Cortex-X4 + 3x2.8GHz Cortex-X4 + 4x2.0GHz Cortex-A720,Immortalis-G720 MC12,12GB,256GB/512GB + microSDXC,13MP f/2.0 26mm AF,8MP f/2.2,N/A,N/A,12MP f/2.4 120deg ultrawide,10090mAh,45W PD,N/A,285.4 x 185.4 x 5.6 mm,571g (Wi-Fi) / 576g (5G),Aluminum Armor frame + glass front,IP68 1.5m 30min,Moonstone Gray/Platinum Silver,5.3,Wi-Fi 6E (a/b/g/n/ac/6e tri-band),USB-C 3.2,Android 14 + One UI 6.1,7 years OS + security,N/A,https://www.gsmarena.com/samsung_galaxy_tab_s10+-13363.php
Galaxy Tab S9 FE,Galaxy Tab S9 FE,2023-10-15,10.9 inch,PLS LCD (TFT),90Hz,1440 x 2304,Samsung Exynos 1380 (5nm),Octa-core 4x2.4GHz Cortex-A78 + 4x2.0GHz Cortex-A55,Mali-G68 MP5,6GB/8GB,128GB/256GB + microSDXC up to 1TB,8MP AF,N/A,N/A,N/A,12MP f/2.4 120deg ultrawide,8000mAh,45W PD,N/A,254.3 x 165.8 x 6.5 mm,523g,Aluminum unibody,IP68 1.5m 30min,Mint/Gray/Lavender/Silver,5.3,Wi-Fi 6 (a/b/g/n/ac/ax dual-band),USB-C 2.0,Android 13 + One UI 5.1.1,4 years OS + 5 years security,N/A,https://en.wikipedia.org/wiki/Samsung_Galaxy_Tab_S9_FE
Galaxy Tab A9,Galaxy Tab A9 Plus,2023-10-17,11 inch,TFT LCD,90Hz,1200 x 1920,Qualcomm Snapdragon 695 5G (SM6375 6nm),Octa-core 2x2.2GHz Kryo 660 Gold + 6x1.8GHz Kryo 660 Silver,Adreno 619,4GB/8GB,64GB/128GB + microSDXC,8MP AF,N/A,N/A,N/A,5MP landscape,7040mAh,15W,N/A,257.1 x 168.7 x 6.9 mm,N/A,Metallic body,N/A,Graphite/Silver/Navy,N/A,N/A,USB-C 2.0,Android 13 + One UI 5.1.1,N/A,N/A,https://en.wikipedia.org/wiki/Samsung_Galaxy_Tab_A9%2B
